jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,leap-feb,thanksgiving-nov,thanksgiving-dec,gulf-war,9/2001,iraq-war,sars-outbreak,great-recession,months-since-9/11,months-since-covid-19,unemployment-rate,nonfarm-payroll,deaths,rpms
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,132236,0.0,47247342384.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,132230,0.0,46248004926.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,132353,0.0,38123712929.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,132351,0.0,41588848453.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.9,132556,0.0,40514376649.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.9,132709,0.0,39431366321.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,132698,0.0,36966493330.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,132789,0.0,35592936818.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,132747,0.0,43965366410.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,132463,0.0,42248311262.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,132410,0.0,42363342301.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,132299,0.0,45237041653.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,132177,0.0,47920709144.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,132028,0.0,48423014723.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,131771,0.0,26026300484.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.3,131454,0.0,33324164073.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5.5,131142,0.0,33889800942.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,5.7,130982,0.0,34753514418.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5.7,130852,0.0,32840752603.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.7,130736,0.0,32518584737.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5.7,130717,0.0,41271421797.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5.9,130623,0.0,38344358106.0
