Months_After_9/11,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf_War_Recession,Leap_Feb,Great_Recession,Thanksgiving_n,Thanksgiving_d,Unemployement,Labor_Force,RPMs,Date,CPG,9/11,Avg,Avgd,MSC
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,144725.0,38344358106,4/2002,0.67,0.0,0.0,0.0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,144938.0,39770937146,5/2002,0.67,0.0,0.0,0.0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.8,144808.0,42845687635,6/2002,0.65,0.0,0.0,0.0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.8,144803.0,45235069906,7/2002,0.69,0.0,0.0,0.0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.7,145009.0,45271518493,8/2002,0.72,0.0,0.0,0.0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.7,145552.0,34146894752,9/2002,0.8,0.0,0.0,0.0,0
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.7,145314.0,39190921883,10/2002,0.79,0.0,0.0,0.0,0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.9,145041.0,36485870121,11/2002,0.71,0.0,0.0,0.0,0
15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,145066.0,41557477625,12/2002,0.81,0.0,0.0,0.0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,145937.0,36379359801,1/2003,0.89,0.0,0.0,0.0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,146100.0,34208355577,2/2003,1.06,0.0,0.0,0.0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,146022.0,42036294617,3/2003,0.89,0.0,0.0,0.0,0
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,146474.0,39667296207,4/2003,0.74,0.0,0.0,0.0,0
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,146500.0,41120413371,5/2003,0.71,0.0,0.0,0.0,0
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3,147056.0,44662969306,6/2003,0.75,0.0,0.0,0.0,0
22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.2,146485.0,48500873911,7/2003,0.78,0.0,0.0,0.0,0
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1,146445.0,47165686012,8/2003,0.82,0.0,0.0,0.0,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.1,146530.0,37006895337,9/2003,0.74,0.0,0.0,0.0,0
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0,146716.0,41708149364,10/2003,0.82,0.0,0.0,0.0,0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.8,147000.0,39577476413,11/2003,0.83,0.0,0.0,0.0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,146729.0,42921694458,12/2003,0.88,0.0,0.0,0.0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,146842.0,38377528688,1/2004,1.0,0.0,0.0,0.0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.6,146709.0,38862375955,2/2004,0.93,0.0,0.0,0.0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,146944.0,46808799110,3/2004,0.95,0.0,0.0,0.0,0
31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,146850.0,46107897278,4/2004,0.97,0.0,0.0,0.0,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,147065.0,45525363009,5/2004,1.09,0.0,0.0,0.0,0
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,147460.0,49856675317,6/2004,1.03,0.0,0.0,0.0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,147692.0,52949238751,7/2004,1.15,0.0,0.0,0.0,0
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.4,147564.0,50986683070,8/2004,1.23,0.0,0.0,0.0,0
36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,147415.0,40776408784,9/2004,1.36,0.0,0.0,0.0,0
